CPU: 12 | Memory: 6976888832 | Platform: win32
CPU: 12 | Memory: 6997016576 | Platform: win32
CPU: 12 | Memory: 7008112640 | Platform: win32
CPU: 12 | Memory: 7003623424 | Platform: win32
CPU: 12 | Memory: 7014322176 | Platform: win32
CPU: 12 | Memory: 7017324544 | Platform: win32
CPU: 12 | Memory: 7009009664 | Platform: win32
CPU: 12 | Memory: 7001968640 | Platform: win32
CPU: 12 | Memory: 6991794176 | Platform: win32
CPU: 12 | Memory: 6970703872 | Platform: win32
CPU: 12 | Memory: 6965968896 | Platform: win32
CPU: 12 | Memory: 6917152768 | Platform: win32
CPU: 12 | Memory: 6914289664 | Platform: win32
CPU: 12 | Memory: 6899625984 | Platform: win32
CPU: 12 | Memory: 6921338880 | Platform: win32
CPU: 12 | Memory: 6853668864 | Platform: win32
CPU: 12 | Memory: 6860369920 | Platform: win32
CPU: 12 | Memory: 6904852480 | Platform: win32
CPU: 12 | Memory: 6912557056 | Platform: win32
CPU: 12 | Memory: 6918090752 | Platform: win32
CPU: 12 | Memory: 6922489856 | Platform: win32
CPU: 12 | Memory: 6956740608 | Platform: win32
CPU: 12 | Memory: 6927556608 | Platform: win32
CPU: 12 | Memory: 6922235904 | Platform: win32
CPU: 12 | Memory: 6936780800 | Platform: win32
CPU: 12 | Memory: 6916063232 | Platform: win32
CPU: 12 | Memory: 6917386240 | Platform: win32
CPU: 12 | Memory: 6925500416 | Platform: win32
CPU: 12 | Memory: 6941773824 | Platform: win32
CPU: 12 | Memory: 6941372416 | Platform: win32
CPU: 12 | Memory: 6951329792 | Platform: win32
CPU: 12 | Memory: 6942404608 | Platform: win32
CPU: 12 | Memory: 6930239488 | Platform: win32
CPU: 12 | Memory: 6920740864 | Platform: win32
CPU: 12 | Memory: 6937735168 | Platform: win32
CPU: 12 | Memory: 6957613056 | Platform: win32
CPU: 12 | Memory: 6957969408 | Platform: win32
CPU: 12 | Memory: 7160565760 | Platform: win32
CPU: 12 | Memory: 7160406016 | Platform: win32
CPU: 12 | Memory: 7168663552 | Platform: win32
CPU: 12 | Memory: 7160688640 | Platform: win32
CPU: 12 | Memory: 7170805760 | Platform: win32
CPU: 12 | Memory: 7113269248 | Platform: win32
CPU: 12 | Memory: 7110090752 | Platform: win32
CPU: 12 | Memory: 7117983744 | Platform: win32
CPU: 12 | Memory: 7092305920 | Platform: win32
CPU: 12 | Memory: 7098445824 | Platform: win32
CPU: 12 | Memory: 7111036928 | Platform: win32
CPU: 12 | Memory: 7081877504 | Platform: win32
CPU: 12 | Memory: 7089975296 | Platform: win32
CPU: 12 | Memory: 7092543488 | Platform: win32
CPU: 12 | Memory: 7110209536 | Platform: win32
CPU: 12 | Memory: 7101599744 | Platform: win32
CPU: 12 | Memory: 7080849408 | Platform: win32
CPU: 12 | Memory: 7121915904 | Platform: win32
CPU: 12 | Memory: 7171211264 | Platform: win32
CPU: 12 | Memory: 7157329920 | Platform: win32
CPU: 12 | Memory: 7146414080 | Platform: win32
CPU: 12 | Memory: 7165288448 | Platform: win32
CPU: 12 | Memory: 7079772160 | Platform: win32
CPU: 12 | Memory: 7078621184 | Platform: win32
CPU: 12 | Memory: 7101493248 | Platform: win32
CPU: 12 | Memory: 7089139712 | Platform: win32
CPU: 12 | Memory: 7097307136 | Platform: win32
CPU: 12 | Memory: 7089020928 | Platform: win32
CPU: 12 | Memory: 7081570304 | Platform: win32
CPU: 12 | Memory: 7063883776 | Platform: win32
CPU: 12 | Memory: 7099015168 | Platform: win32
CPU: 12 | Memory: 7103676416 | Platform: win32
CPU: 12 | Memory: 7080218624 | Platform: win32
CPU: 12 | Memory: 7075135488 | Platform: win32
CPU: 12 | Memory: 7080869888 | Platform: win32
CPU: 12 | Memory: 7085047808 | Platform: win32
CPU: 12 | Memory: 7078723584 | Platform: win32
